nms_poller_engine  | 2026-03-27 01:54:27,072 - PollerEngine - INFO - Polled Digta.Sw.MMR (103.172.120.42): Status=UP, Latency=1.69ms
nms_poller_engine  | 2026-03-27 01:54:27,078 - PollerEngine - INFO - Polled SW-IPT-MMR-P1-RACK8 IPT-03 (10.17.9.5): Status=UP, Latency=2.2ms
nms_poller_engine  | 2026-03-27 01:54:27,081 - PollerEngine - INFO - Polled Mkr.Lt8 (10.168.2.5): Status=UP, Latency=1.15ms
nms_poller_engine  | 2026-03-27 01:54:44,218 - PollerEngine - INFO - Selesai memproses iterasi ping perangkat.
nms_poller_engine  | 2026-03-27 01:55:15,196 - PollerEngine - INFO - Starting polling cycle...
nms_poller_engine  | 2026-03-27 01:55:15,224 - PollerEngine - INFO - Polled DBN_LAMongan (103.163.36.0): Status=UP, Latency=16.3ms
nms_poller_engine  | 2026-03-27 01:55:15,228 - PollerEngine - INFO - Polled FAHASA_Core.AS (103.168.254.1): Status=UP, Latency=1.65ms
nms_poller_engine  | 2026-03-27 01:55:15,240 - PollerEngine - INFO - Polled OLT.MDP-01 (103.162.16.8): Status=UP, Latency=8.89ms
nms_poller_engine  | 2026-03-27 01:55:15,243 - PollerEngine - INFO - Polled NE8K-JUJUNG.NET-AS134651 (113.192.29.254): Status=UP, Latency=1.48ms
nms_poller_engine  | 2026-03-27 01:55:15,255 - PollerEngine - INFO - Polled Dist.Mikrotik.MDP (103.162.16.8): Status=UP, Latency=8.67ms
nms_poller_engine  | 2026-03-27 01:55:16,257 - PollerEngine - INFO - Polled sw.P1.H3C (103.217.224.109): Status=DOWN, Latency=-1.0ms
nms_poller_engine  | 2026-03-27 01:55:16,263 - PollerEngine - INFO - Polled MDP_MMR.APJII (103.162.16.105): Status=UP, Latency=2.81ms
nms_poller_engine  | 2026-03-27 01:55:16,266 - PollerEngine - INFO - Polled Digta.Sw.MMR (103.172.120.42): Status=UP, Latency=1.54ms
nms_poller_engine  | 2026-03-27 01:55:16,270 - PollerEngine - INFO - Polled SW-IPT-MMR-P1-RACK8 IPT-03 (10.17.9.5): Status=UP, Latency=1.81ms
nms_poller_engine  | 2026-03-27 01:55:16,273 - PollerEngine - INFO - Polled Mkr.Lt8 (10.168.2.5): Status=UP, Latency=0.731ms
nms_poller_engine  | 2026-03-27 01:55:33,323 - PollerEngine - INFO - Selesai memproses iterasi ping perangkat.
nms_poller_engine  | 2026-03-27 01:56:04,311 - PollerEngine - INFO - Starting polling cycle...
nms_poller_engine  | 2026-03-27 01:56:04,336 - PollerEngine - INFO - Polled DBN_LAMongan (103.163.36.0): Status=UP, Latency=14.8ms
nms_poller_engine  | 2026-03-27 01:56:04,340 - PollerEngine - INFO - Polled FAHASA_Core.AS (103.168.254.1): Status=UP, Latency=1.73ms
nms_poller_engine  | 2026-03-27 01:56:04,351 - PollerEngine - INFO - Polled OLT.MDP-01 (103.162.16.8): Status=UP, Latency=8.92ms
nms_poller_engine  | 2026-03-27 01:56:04,355 - PollerEngine - INFO - Polled NE8K-JUJUNG.NET-AS134651 (113.192.29.254): Status=UP, Latency=1.45ms
nms_poller_engine  | 2026-03-27 01:56:04,366 - PollerEngine - INFO - Polled Dist.Mikrotik.MDP (103.162.16.8): Status=UP, Latency=8.85ms
nms_poller_engine  | 2026-03-27 01:56:05,369 - PollerEngine - INFO - Polled sw.P1.H3C (103.217.224.109): Status=DOWN, Latency=-1.0ms
